Hospital,Month,ED_Visits,Wait_Time_Hours,LOS_Days,Bed_Occupancy_Pct,ALC_Patients,Admission_Rate_Pct,LWBS_Rate_Pct,Readmission_Rate_Pct,Staffing_Index,CTAS_1_Visits,CTAS_2_Visits,CTAS_3_Visits,CTAS_4_Visits,CTAS_5_Visits,CTAS_1_Wait_Hrs,CTAS_2_Wait_Hrs,CTAS_3_Wait_Hrs,CTAS_4_Wait_Hrs,CTAS_5_Wait_Hrs,CTAS_1_Admission_Pct,CTAS_2_Admission_Pct,CTAS_3_Admission_Pct,CTAS_4_Admission_Pct,CTAS_5_Admission_Pct
Sunnybrook HSC,2025-01-01,9940,5.42,5.66,88.37,45,13.47,5.18,9.43,95,158,1438,3342,3203,1799,0.2,1.4,6.24,7.05,4.61,81.48,39.37,14.81,4.45,0.3
Sunnybrook HSC,2025-02-01,10041,4.24,5.02,88.23,30,17.47,4.35,10.52,100,120,1560,3551,3231,1579,0.12,1.42,4.87,5.51,3.6,82.43,35.52,19.22,5.64,0.46
Sunnybrook HSC,2025-03-01,9588,4.73,5.22,87.3,31,14.17,4.61,13.63,95,113,1621,3461,3428,965,0.17,1.26,5.44,6.15,4.02,79.21,43.14,15.59,2.56,1.22
Sunnybrook HSC,2025-04-01,8927,6.22,5.26,98.78,45,14.65,5.92,7.51,100,89,1468,3198,3116,1056,0.16,1.86,7.15,8.09,5.29,79.88,45.94,16.11,4.55,1.34
Sunnybrook HSC,2025-05-01,9995,4.26,5.06,84.03,35,16.07,4.2,14.26,95,156,1630,3495,3407,1307,0.15,1.43,4.9,5.54,3.62,81.16,46.33,17.68,2.92,0.21
Sunnybrook HSC,2025-06-01,10085,4.82,5.57,84.74,42,13.82,4.73,10.42,95,164,1675,3652,3302,1292,0.26,1.31,5.54,6.26,4.1,87.91,35.1,15.21,4.04,0.68
Sunnybrook HSC,2025-07-01,10341,3.96,4.24,84.04,24,12.3,4.06,11.88,95,136,1608,3703,3459,1435,0.2,1.22,4.56,5.15,3.37,75.77,39.18,13.52,5.63,0.44
Sunnybrook HSC,2025-08-01,9009,6.19,5.0,90.32,47,12.72,5.95,13.68,95,150,1467,3058,3145,1189,0.16,1.73,7.12,8.05,5.26,77.8,35.61,13.99,4.36,1.05
Sunnybrook HSC,2025-09-01,9775,4.62,4.47,90.71,24,17.28,4.66,13.54,105,114,1571,3376,3494,1220,0.21,1.58,5.31,6.0,3.92,82.94,38.63,19.01,2.37,1.36
Sunnybrook HSC,2025-10-01,9213,4.92,4.94,92.76,29,12.04,5.0,8.29,95,159,1537,3367,3235,915,0.21,1.51,5.66,6.4,4.18,85.38,44.78,13.24,2.9,1.1
Sunnybrook HSC,2025-11-01,9784,4.4,4.93,87.53,38,17.05,4.76,13.36,95,180,1562,3451,3167,1424,0.2,1.4,5.06,5.72,3.74,83.65,42.39,18.75,2.78,1.11
Sunnybrook HSC,2025-12-01,8886,4.3,4.97,82.41,33,18.81,4.34,9.54,95,172,1498,3257,2975,984,0.13,1.12,4.95,5.59,3.66,83.35,49.04,20.69,4.78,0.9
Sunnybrook HSC,2026-01-01,8816,5.55,5.87,92.46,48,18.48,5.56,13.94,100,133,1466,3170,3066,981,0.28,1.51,6.38,7.21,4.72,82.67,42.52,20.33,5.19,1.01
Sunnybrook HSC,2026-02-01,9192,7.17,4.85,95.53,46,12.24,6.65,7.3,95,126,1312,3245,2954,1555,0.26,1.5,8.24,9.32,6.09,80.4,36.91,13.47,4.09,1.18
Sunnybrook HSC,2026-03-01,8648,4.87,4.77,92.59,21,14.17,5.12,10.51,100,132,1350,3074,3018,1074,0.12,1.51,5.6,6.33,4.14,75.38,49.44,15.58,5.34,1.07
