Hospital,Month,ED_Visits,Wait_Time_Hours,LOS_Days,Bed_Occupancy_Pct,ALC_Patients,Admission_Rate_Pct,LWBS_Rate_Pct,Readmission_Rate_Pct,Staffing_Index,CTAS_1_Visits,CTAS_2_Visits,CTAS_3_Visits,CTAS_4_Visits,CTAS_5_Visits,CTAS_1_Wait_Hrs,CTAS_2_Wait_Hrs,CTAS_3_Wait_Hrs,CTAS_4_Wait_Hrs,CTAS_5_Wait_Hrs,CTAS_1_Admission_Pct,CTAS_2_Admission_Pct,CTAS_3_Admission_Pct,CTAS_4_Admission_Pct,CTAS_5_Admission_Pct
Sunnybrook HSC,2025-01-01,9662,5.52,5.38,89.87,45,16.79,5.37,8.25,105,144,1449,3381,3381,1307,0.12,1.5,6.35,7.18,4.69,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-02-01,9097,4.94,4.84,90.97,27,17.21,4.96,7.45,100,136,1364,3183,3183,1231,0.14,1.53,5.68,6.42,4.2,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-03-01,9252,4.25,4.65,87.36,21,16.2,4.48,10.46,95,138,1387,3238,3238,1251,0.2,1.42,4.89,5.53,3.61,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-04-01,9894,4.48,4.57,90.2,18,13.86,4.64,7.72,100,148,1484,3462,3462,1338,0.14,1.51,5.16,5.83,3.81,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-05-01,9004,5.35,5.08,91.69,36,16.86,5.24,8.36,105,135,1350,3151,3151,1217,0.1,1.55,6.15,6.95,4.54,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-06-01,9329,6.09,5.14,97.25,38,12.13,5.76,8.85,105,139,1399,3265,3265,1261,0.24,1.72,7.0,7.92,5.18,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-07-01,9126,5.81,5.32,92.93,43,15.13,5.57,8.46,100,136,1368,3194,3194,1234,0.19,1.59,6.68,7.55,4.94,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-08-01,8990,4.76,5.0,87.7,33,18.74,4.83,10.6,100,134,1348,3146,3146,1216,0.28,1.43,5.47,6.19,4.05,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-09-01,9044,5.89,5.4,92.77,46,13.57,5.63,7.36,95,135,1356,3165,3165,1223,0.18,1.58,6.78,7.66,5.01,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-10-01,9302,5.19,5.25,88.53,41,14.25,5.13,11.34,95,139,1395,3255,3255,1258,0.16,1.46,5.97,6.74,4.41,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-11-01,9366,4.02,4.5,87.15,16,15.16,4.31,9.35,105,140,1404,3278,3278,1266,0.26,1.41,4.62,5.23,3.42,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2025-12-01,9700,5.86,5.24,94.19,41,12.59,5.6,9.87,95,145,1455,3395,3395,1310,0.28,1.63,6.74,7.62,4.98,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2026-01-01,9051,5.79,5.02,96.05,34,14.97,5.55,12.35,95,135,1357,3167,3167,1225,0.25,1.68,6.65,7.52,4.92,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2026-02-01,9413,5.93,5.37,93.29,45,12.96,5.65,12.71,95,141,1411,3294,3294,1273,0.24,1.6,6.81,7.7,5.04,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2026-03-01,8998,4.44,4.73,88.07,24,17.69,4.61,7.89,95,134,1349,3149,3149,1217,0.14,1.44,5.1,5.77,3.77,85.0,42.0,18.0,4.5,0.5
